번호,등록번호,서명,저자,출판사,출판년도,
1,BSL00000001,"넥서스  : 석기시대부터 AI까지,  정보 네트워크로 보는 인류 역사","유발 하라리,옮긴이: 김명주",김영사,2024,
2,BSL00000002,이기적 소통  : 나를 위한 지혜로운 말하기 수업,박보영 지음,BM성안당,2024,
3,BSL00000003,마인드셋  : 스탠퍼드 인간 성장 프로젝트,"캐럴 드웩 지음,김준수 옮김",스몰빅라이프 :스몰빅미디어,2025,
4,BSL00000004,범도,방현석,문학동네,2024,
5,BSL00000005,범도,방현석,문학동네,2024,
6,BSL00000006,(한 번 배우면 평생 써먹는)ETF 투자법 : 수익에 필요한 것만 배우고 바로 시작하자,윤영준 지음,동양북스,2025,
7,BSL00000007,아가미 : 구병모 장편소설,구병모 지음,위즈덤하우스,2025,
8,BSL00000008,언젠가 우리가 같은 별을 바라본다면 : 차인표 장편소설,차인표 글,해결책,2025,
9,BSL00000009,오늘이 내일이면 좋겠다  : 남유하 에세이,남유하,사계절출판사,2025,
10,BSL00000010,독일인의 사랑,"프리드리히 막스 뮐러 지음,김영진 옮김",자화상,2021,
11,BSL00000011,새의 선물  : 은희경 장편소설,은희경,문학동네,2022,
12,BSL00000013,스즈메의 문단속,"신카이 마코토 지음,민경욱 옮김",대원씨아이,2023,
13,BSL00000014,SF 꿀벌의 예언 : 베르나르 베르베르 장편소설,"베르나르 베르베르 지음,전미연 옮김",열린책들,2023,
14,BSL00000015,꿀벌의 예언 : 베르나르 베르베르 장편소설,"베르나르 베르베르 지음,전미연 옮김",열린책들,2023,
15,BSL00000016,불편한 편의점 : 김호연 장편소설,김호연 지음,나무옆의자,2023,
16,BSL00000017,"메리골드 마음 세탁소  = ,Marigold mind laundry  : 윤정은 장편소설",윤정은,북로망스,2023,
17,BSL00000018,매스커레이드 게임,"히가시노 게이고 지음,양윤옥 옮김",현대문학,2023,
18,BSL00000019,빨치산의 딸,정지아 지음,필맥,2020,
19,BSL00000020,빨치산의 딸 : 정지아 장편소설,정지아 지음,필맥,2020,
20,BSL00000021,불편한 편의점 : 김호연 장편소설,김호연 지음,나무옆의자,2022,
21,BSL00000022,작은 땅의 야수들  : 김주혜 장편소설,"김주혜,옮긴이: 박소현",다산책방 :다산북스,2022,
22,BSL00000024,"오늘 밤,  세계에서 이 사랑이 사라진다 해도","이치조 미사키 지음,권영주 옮김",모모,2023,
23,BSL00000025,아버지의 해방일지  : 정지아 장편소설,정지아,창비,2022,
24,BSL00000026,당신이 잘되면 좋겠습니다,김민섭 지음,창비:창비교육,2022,
25,BSL00000029,"엄마가 치워,전자책 : 정리 정돈 습관을 잡아주는 책","김선희, 박윤희",위즈덤하우스,2011,
26,BSL00000030,불장난 외 6편,"손보미,강화길,백수린,서이제,염승숙,이장욱,최은미",문학사상,2022,
27,BSL00000031,적당한 거리,전소영 지음,달그림:노란돼지,2020,
28,BSL00000032,"어느 날,  내 죽음에 네가 들어왔다,전자자료","세이카 료겐 지음,김윤경 옮김",모모 :바이포엠 스튜디오 :제이오제작,2022,
29,BSL00000033,달러구트 꿈 백화점  : 주문하신 꿈은 매진입니다,이미예 지음,팩토리나인,2022,
30,BSL00000034,달러구트 꿈 백화점  : 이미예 장편소설,"이미예.,2,단골손님을 찾습니다",팩토리나인,2022,
31,BSL00000035,파친코1,"이민진 지음,신승미 옮김",문학사상사,2022,
32,BSL00000036,파친코2,"이민진 지음,이미정 옮김",문학사상사,2022,
33,BSL00000037,백광,"렌조 미키히코 지음,양윤옥 옮김",바이포엠 스튜디오,2022,
34,BSL00000039,고래 : 천명관 장편소설,천명관 지음,문학동네,2024,
35,BSL00000040,"화가가 사랑한 밤  = ,The book of the night  : 명화에 담긴 101가지 밤 이야기",정우철 지음,오후의서재,2024,
36,BSL00000041,(매일매일 입고 싶은) 심플 데일리 키즈룩  : 패턴부터 남다른 아이 옷 스타일 북,"가타가이 유키 지음,남궁가윤 옮김",한스미디어 :한즈미디어,2022,
37,BSL00000042,(깔끔한 실루엣의) 원피스 만들기 25,"류정숙,임선경,하순희,홍은진 지음",Handis :핸디스 소잉스토리,2021,
38,BSL00000043,50부터 시작하는 하루 1분 기적의 스트레칭  : 노화는 늦추고 통증은 사라지는 매일 체간 운동 28,"사와키 가즈타카 지음,최말숙 옮김",카시오페아,2022,
39,BSL00000044,"집안일이 귀찮아서 미니멀리스트가 되기로 했다  : 할 일은 끝이 없고,  삶은 복잡할 때",글· 에린남,상상출판,2020,
40,BSL00000045,부모의 어휘력  : 정확히 말할수록 아이의 세상이 커지는 필수 어휘 126,김종원 지음,카시오페아,2024,
41,BSL00000046,(한형선 박사의) 푸드닥터,한형선 지음,헬스레터,2021,
42,BSL00000047,이순신의 바다 : 그 바다는 무엇을 삼켰나,황현필 지음,역바연,2022,
43,BSL00000048,한 컷 한국사  : 사진으로 시대를 읽는다  : 역사 교사들이 한 컷의 풀어낸 살아있는 한국사 이야기,"조한경,김남수,김민수,김종민,박범희,박상필,박중현,백형대,정연두,차경호",해냄에듀,2022,
44,BSL00000049,모순  : 양귀자 장편소설,양귀자 지음,쓰다,2023,
45,BSL00000050,공부 못했던 그 친구는 어떻게 살고 있을까,"구론산바몬드 지음,루미 그림",홍림,2024,
46,BSL00000051,"시후 엄마,  김혜민 경찰입니다",김혜민 지음,홍림,2025,
47,BSL00000052,드라이브,정해연 지음,&(앤드) :넥서스,2025,
48,BSL00000053,(초판본)키다리 아저씨,"진 웹스터 지음,허윤정 옮김",더스토리,2025,
49,BSL00000054,19호실로 가다,"도리스 레싱,옮긴이: 김승욱",문예출판사,2018,
50,BSL00000055,단 한 번의 삶,김영하 지음,복복서가,2025,
51,BSL00000056,"어서오세요,  휴남동 서점입니다  : 황보름 장편소설",황보름,클레이하우스,2022,
52,BSL00000057,밝은 밤,최은영 지음,문학동네,2024,
53,BSL00000058,"시선으로부터,   : 정세랑 장편소설",정세랑,문학동네,2021,
54,BSL00000059,황금종이  : 조정래 장편소설,조정래,해냄(해냄출판사),2023,
55,BSL00000060,황금종이  : 조정래 장편소설,조정래,해냄(해냄출판사),2023,
56,BSL00000061,작별하지 않는다  : 한강 장편소설,한강 지음,문학동네,2024,
57,BSL00000063,소년이 온다  : 한강 장편소설,한강 지음,창비,2024,
58,BSL00000066,라플라스의 마녀,"히가시노 게이고 지음,양윤옥 옮김",현대문학,2023,
59,BSL00000067,"흰 - 2024 노벨문학상 수상작가,  한강 소설",한강 (지은이),문학동네,2024,
60,BSL00000068,속죄의 소나타  : 나카야마 시치리 장편소설,"나카야마 시치리,옮긴이: 권영주",블루홀6(블루홀식스),2017,
61,BSL00000070,트러스트  : 에르난 디아스 장편소설,"에르난 디아스,옮긴이: 강동혁",문학동네,2023,
62,BSL00000071,나는 불안할 때 논어를 읽는다  : 불안함이 요동치는 인생을 위로할 최고의 고전!,"판덩 지음,이서연 옮김",미디어숲 :다빈치하우스,2022,
63,BSL00000072,"내가 틀릴 수도 있습니다,전자자료  : 숲속의 현자가 전하는 마지막 인생수업","비욘 나티코 린데블라드 지음,박미경 옮김",다산초당 :다산북스,2022,
64,BSL00000073,쇼펜하우어 인생수업,"쇼펜하우어 저,김지민 엮음",하이스트,2025,
65,BSL00000074,"스몰 트라우마,전자자료  : 삶의 면역을 기르는 자기 돌봄의 심리학","멕 애럴 지음,박슬라 옮김,김현수 감수",갤리온 :웅진씽크빅,2023,
66,BSL00000075,당신이 옳다  : 정혜신의 적정심리학,정혜신 지음,해냄출판사,2020,
67,BSL00000077,나를 소모하지 않는 현명한 태도에 관하여,"마티아스 뇔케 지음,이미옥 옮김",퍼스트펭귄,2024,
68,BSL00000078,"오십,  나는 재미있게 살리로 했다",이서원 지음,나무사이,2024,
69,BSL00000079,깨진 틈이 있어야 그 사이로 빛이 들어온다  : 차라투스트라는 이렇게 말했다,"프리드리히 니체 지음,김신종 옮김",Page2(페이지2북스),2024,
70,BSL00000080,마흔에 읽는 쇼펜하우어  :  마음의 위기를 다스리는 철학 수업,강용수 지음,유노북스 :유노콘텐츠그룹,2024,
71,BSL00000081,"아주 세속적인 지혜,전자자료  : 400년 동안 사랑받은 인생의 고전","발타자르 그라시안 지음,강정선 옮김",page2 :페이지2북스,2023,
72,BSL00000082,언어로 본 한국인의 문화유전자,조현용 지음,夏雨,2023,
73,BSL00000083,나에게 맞는 삶을 가꿉니다,소형 지음,뜨인돌(뜨인돌출판),2022,
74,BSL00000084,홍학의 자리  : 정해연 장편소설,정해연 지음,엘릭시르 :문학동네,2024,
75,BSL00000085,우리에겐 더 많은 돈이 필요하다 : 더 나은 삶을 꿈꾸는 당신을 위한 야망 독려 에세이,토스 기획 지음,웨일북,2024,
76,BSL00000086,혼자라는 가족,김보리 지음,다람,2023,
77,BSL00000087,환승 인간 솔밭스마트,한정현 지음,작가정신,2023,
78,BSL00000088,주엽역 해방의 밤 : 당신을 자유롭게 할 은유의 책 편지,은유 지음,창비,2024,
79,BSL00000089,이방인의 춤  : 김수우 산문집,김수우,걷는사람,2023,
80,BSL00000090,포기하지 않는 마음,임혜린 지음,폭스코너,2023,
81,BSL00000091,이청준 평전,이윤옥 지음,문학과지성사,2024,
82,BSL00000092,한국현대수필 105인선  : 선수필 20주년 기획 선집,정목일 외 지음,나무향,2024,
83,BSL00000093,"우울한 엄마들의 살롱  = ,The salon for depressed mothers  : 수미 에세이",수미,어떤책,2023,
84,BSL00000094,"이미지,  가상과 실재의 유희  : 김진수 평론집",김진수 지음,사문난적,2024,
85,BSL00000095,자살,"에두아르 르베 지음,한국화 옮김",워크룸 프레스,2023,
86,BSL00000096,신간 『난장이가 쏘아올린 작은 공』의 카오스모스 수사학,우찬제 지음,서강대학교출판부,2023,
87,BSL00000097,마시지 않을 수 없는 밤이니까요  : 정지아 에세이,정지아 지음.,마이디어북스,2024,
88,BSL00000098,내게 와 어두워진 빛들에게,하재연 지음,문학과지성사,2024,
89,BSL00000099,시절과 형식  : 김형중 비평집,김형중,문학과지성사,2024,
90,BSL00000100,나무 되기 연습,고명자 지음,걷는사람,2024,
91,BSL00000101,이름을 부르는 시간,최기우 지음,평민사,2024,
92,BSL00000102,신간 근대의 초상,김인환 지음,난다,2023,
93,BSL00000103,경계의 풍경이 묻다  : 삶과 죽음 사이에서 발견한 오늘을 위한 질문들,김범석 지음,인티앤,2024,
94,BSL00000104,내가 지은 집에는 내가 살지 않는다  : 시와 민주주의 2023,"고영서,권선희,김명기,김사이,김선향,김용만,김해자,문동만,박승민,백무산,이철산,임성용,정우영,조기조,조온윤,최지인,최진석,최종천,허유미,황규관",삶창,2023,
95,BSL00000105,나의 작고 부드러운 세계,신아영 지음,책과이음,2024,
96,BSL00000106,수도자처럼 생각하기  : 목적 있는 삶을 위한 11가지 기술,"제이 셰티 지음,이지연 옮김",다산초당 :다산북스,2021,
97,BSL00000107,다산이 삶에서 깨달은 것들  : 다산 정약용의 깨달음을 찾아 떠난 긴 여행,차벽,종이와나무,2021,
98,BSL00000108,"세탁비는 이야기로 받습니다,  산복빨래방","김준용,이상배,사진: 김보경,이재화",남해의봄날,2024,
99,BSL00000109,100세 할머니 약국,"히루마 에이코 지음,이정미 옮김",윌마,2025,
100,BSL00000110,우리는 언젠가 죽는다,"데이비드 실즈 지음,김명남 옮김",문학동네,2010,
101,BSL00000111,"호모심비우스,  양심","최재천,팀최마존 공지음",더클래스,2025,
102,BSL00000112,"혼자를 짓는 시간,전자자료  : 김혜니,  황예지 인터뷰집","김헤니,황예지 공지음",위즈덤하우스,2022,
103,BSL00000113,기분이 태도가 되지 말자  : 감정조절이 필요한 당신을 위한 책,김수현 지음,하이스트,2023,
104,BSL00000114,단 한 번의 여행  : 당신과 함께 가 보고 싶은 그곳,최갑수 글·사진,Bodabooks(보다북스),2021,
105,BSL00000115,나에게 고맙다  : 세상에서 가장 소중한 나에게 건네는 인사  : 전승환 에세이,전승환,북로망스,2022,
106,BSL00000116,"죽음이 물었다,  어떻게 살 거냐고","한스 할터 지음,한윤진 옮김",포레스트북스,2024,
107,BSL00000117,나락 한 알 속의 우주,장일순 지음,녹색평론사,2021,
108,BSL00000118,만일 내가 인생을 다시 산다면,김혜남 지음,메이븐,2023,
109,BSL00000119,이어령의 마지막 수업,김지수 지음,열림원,2022,
110,BSL00000120,모든 삶은 흐른다  : 삶의 지표가 필요한 당신에게 바다가 건네는 말,"로랑스 드빌레르 지음,이주영 옮김",Fika(피카),2023,
111,BSL00000121,나의 돈키호테  : 김호연 장편소설,김호연,나무옆의자,2024,
112,BSL00000122,"흐르는 강물처럼,전자자료","셸리 리드 지음,김보람 옮김",다산책방,2024,
113,BSL00000123,"나비의 언어  : 찰스 다윈부터 블라디미르 나보코프까지,  나비 덕후들이 풀어낸 이상하고 아름다운 나비의 비밀","웬디 윌리엄스 지음,이세진 옮김",그러나,2022,
114,BSL00000124,"세븐 테크  = ,Seven tech  : 3년 후 당신의 미래를 바꿀 7가지 기술","김미경,김상균,김세규,김승주,이경전,이한주,정지훈,최재붕,한재권 지음",웅진지식하우스 :웅진씽크빅,2022,
115,BSL00000125,하루를 48시간으로 사는 마법 : 방송국 헤르미온느 이재은의 삶을 빛나게 하는 마법의 주문,이재은 지음,비즈니스북스,2022,
116,BSL00000126,잔잔하게 그러나 단단하게,정영욱,부크럼,2023,
117,BSL00000127,"물고기는 존재하지 않는다  : 상실,  사랑 그리고 숨어 있는 삶의 질서에 관한 이야기","룰루 밀러, 정지인",곰출판,2025,
118,BSL00000128,국민이 지키는 나라  : 싸우고 증명하며 기록한 112일간의 탄핵심판 이야기,"대통령(윤석열) 탄핵소추위원 법률 대리인단,국회 소추위원 국회 법제사법위원회 위원장 지음",푸른숲,2025,
119,BSL00000129,결국 국민이 합니다 : 이재명의 인생과 정치철학,이재명 지음,오마이북,2025,
120,BSL00000130,무기가 되는 알고리즘  : 조직을 구하는 리더의 60일 업무 프로세스,"도널드 밀러 지음,유정식 옮김",윌북,2024,
121,BSL00000131,원씽 : 복잡한 세상을 이기는 단순함의 힘,"게리 켈러,제이 파파산 공지음,구세희 옮김",비즈니스북스,2024,
122,BSL00000132,나는 읽고 쓰고 버린다  : 손웅정의 말,손웅정,난다,2024,
123,BSL00000133,웰씽킹 : 부를 창조하는 생각의 뿌리,켈리 최 지음,다산북스,2022,
124,BSL00000134,최재천의 공부  : 어떻게 배우며 살 것인가,"최재천,안희경",김영사,2022,
125,BSL00000135,(알아두면 잘난 척하기 딱 좋은) 문화교양사전  : dictionary of culture and bildung to get high and mighty,김대웅 엮음,노마드,2019,
126,BSL00000136,부의 추월차선 : 부자들이 말해 주지 않는 진정한 부를 얻는 방법,"엠제이 드마코 지음,신소영 옮김",토트,2020,
127,BSL00000137,지리의 힘,"팀 마샬 지음,김미선 옮김",사이,2022,
128,BSL00000138,"지리의 힘 : 지리는 어떻게 나라의 운명을,  세계의 분쟁을,  우리의 선택을 좌우하는가","팀 마샬 지음,김미선 옮김.,1",사이,2022,
129,BSL00000139,역행자(확장판)  : 돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 지음.,웅진지식하우스,2023,
130,BSL00000140,세이노의 가르침  : 피보다 진하게 살아라,세이노 지음,데이원,2024,
131,BSL00000141,Urbanlike : 생활 속의 가구,어반라이크 편집부 저,어반북스,2022,
132,BSL00000142,우리가 바꿀 수 있어요  : 세상을 바꾸는 예술의 힘,"디 니콜스 지음,김정한 옮김, 디아나 다가디타,사도,올리비아 트위스트,몰리 멘도자,디에도 베카스",놀이터,2023,
133,BSL00000143,"로블록스 게임 만들기 : 루아 기초 떼고 메타버스 콘텐츠 만들고,  게임 만들고,  배포 수익화까지!",박필준 지음,앤써북,2023,
134,BSL00000144,(Do it!)쉽게 배우는 파이썬 데이터 분석 : 데이터 분석 프로젝트 전 과정 수록!,김영우 지음,이지스퍼블리싱,2023,
135,BSL00000145,가족이라는 착각,이호선 지음,유노라이프,2023,
136,BSL00000146,대화역 나를 알고 싶어서 그림책을 펼쳤습니다,김수영 지음,책읽는곰,2023,
137,BSL00000147,"세 내가 살린 환자,  나를 깨운 환자","강병철 외 53명 지음,한국일보 편저",황소자리,2022,
138,BSL00000148,"세종 논어 속의 사람들,  사람들 속의 논어",이규필 지음,역락,2022,
139,BSL00000149,"라이프 인사이드,전자자료  : 감옥 안에서 열린 아주 특별한 철학 수업","앤디 웨스트 지음,박설영 옮김",어크로스(어크로스출판그룹),2022,
140,BSL00000150,세 살 네 살 넛지 육아  : 뇌 과학자 아빠의 기발한 육아 전략,"알바로 빌바오,옮긴이: 남진희",천문장,2022,
141,BSL00000151,"(에릭 번의)감정 수업 = ,Transactional analysis : 내 안의 감정을 어떻게 다스릴 것인가",김정현 지음,유노북스:유노콘텐츠그룹,2023,
142,BSL00000152,우리는 모두 생존자입니다  : 삶을 가두는 트라우마에서 자유로워지기 위한 31가지 연습,허심양,한겨례출판 :한겨레엔,2022,
143,BSL00000153,일상 채우기 기술  : 삶을 마법처럼 바꾸는 작은 습관 만들기,요니 지음,시프,2022,
144,BSL00000154,"왜 당신은 다른 사람을 위해 살고 있는가  = ,Why do you sacrifice your life for others?",고윤,Deep&wide,2024,
145,BSL00000156,기독교 신학의 새 길 도道의 신학,김흡영 지음,동연,2023,
146,BSL00000157,"다시 재난,  다시 하나님 나라  : 위기에도 소멸하지 않는 공동체  : 하나님 나라로 읽는 요엘서",김형국 지음,비아토르,2023,
147,BSL00000158,세종교양 리퀴드처치,"팀 루카스,워렌 버드 공지음,유정희 옮김",규장,2022,
148,BSL00000159,모던파시즘  : 유대-기독교 세계관을 위협하는 현대 파시즘,"진 E 베이트,옮긴이: 최봉기",드러커마인드,2023,
149,BSL00000160,세 세계사를 바꾼 선교 이야기 : 세계선교사로 시대를 읽는다,이수환 지음,드림북,2023,
